stat,mesto,wikistatu,wikimesta,lat,lon,popisek
Montana,Helena,https://cs.wikipedia.org/wiki/Montana,https://cs.wikipedia.org/wiki/Helena,19.15,-22.70,"je hlavní město amerického státu Montana a současně sídelní město kraje Lewis and Clark. V roce 2010 mělo samotné město 28 190 obyvatel, s metropolitní aglomerací kraje Lewis and Clark a Jefferson pak 67 636 obyvatel."
Nebraska,Lincoln,https://cs.wikipedia.org/wiki/Nebraska,https://cs.wikipedia.org/wiki/Lincoln,4.48,-0.06,je hlavní a zároveň druhé největší město amerického státu Nebraska. Také slouží jako obecní město Lancaster County.
Nevada,Carson City,https://cs.wikipedia.org/wiki/Nevada,https://cs.wikipedia.org/wiki/Carson City,7.73,-37.28,"je hlavní město amerického státu Nevada a zároveň jeden z jeho okresů. Nachází se na západě státu, u hranic s Kalifornií. Žije zde asi 55 tisíc obyvatel, rozloha činí 407 km²."
New Hampshire,Concord,https://cs.wikipedia.org/wiki/New Hampshire,https://cs.wikipedia.org/wiki/Concord,14.54,39.58,"je hlavním městem amerického státu New Hampshire a též sídelním městem kraje Merrimack, na jehož stejnojmenné řece se rozkládá. Podle sčítání lidu z roku 2000 mělo 40 765 a podle odhadů z roku 2007 má již přes 42 392 obyvatel. Vzniklo spojením vesnic Penacook, East Concord a West Concord."
New Jersey,Trenton,https://cs.wikipedia.org/wiki/New Jersey,https://cs.wikipedia.org/wiki/Trenton,7.12,35.96,"je od roku 1790 hlavní město amerického státu New Jersey a okresní město Mercer County. Podle sčítání lidu měl Trenton v roce 2007 82 804 obyvatel. Město zabírá plochu 21,1 km², z toho 19,8 km² je pevnina a 1,3 km² voda."
New Mexico,Santa Fe,https://cs.wikipedia.org/wiki/New Mexico,https://cs.wikipedia.org/wiki/Santa Fe,-5.55,-16.37,je hlavní město Nového Mexika ve Spojených státech amerických.
New York,Albany,https://cs.wikipedia.org/wiki/New York,https://cs.wikipedia.org/wiki/Albany,12.62,36.09,"je okres (county) státu New York, jeho sídelním městem je hlavní město státu Albany. Okres byl poprvé osídlen v roce 1624 Holandskou Západoindickou společností (Dutch West Indies Company). Angličané převzali správu nad územím v roce 1664 a okres Albany vznikl jako správní jednotka v roce 1683."
North Carolina,Raleigh,https://cs.wikipedia.org/wiki/North Carolina,https://cs.wikipedia.org/wiki/Raleigh,-3.54,31.21,"je hlavní město amerického státu Severní Karolína a ve státu druhé největší, za městem Charlotte. Žije v něm více než 370 tisíc obyvatel. Má přezdívku Dubové město pro velké množství zde rostoucích dubů."
North Dakota,Bismarck,https://cs.wikipedia.org/wiki/North Dakota,https://cs.wikipedia.org/wiki/Bismarck,17.68,-6.03,"je hlavní a po Fargu druhé největší město amerického státu Severní Dakota. Slouží také jako obecní město Burleigh County. Bismarck byl založen roku 1872 a jako hlavní město Severní Dakoty slouží od roku 1889, kdy získalo suverenitu."
Ohio,Columbus,https://cs.wikipedia.org/wiki/Ohio,https://cs.wikipedia.org/wiki/Columbus,4.06,22.45,"je hlavní a největší město Ohia, státu USA. Bylo založeno v roce 1812 na soutoku řek Scioto a Olentangy. Hlavním městem Ohia je od roku 1816."
Oklahoma,Oklahoma City,https://cs.wikipedia.org/wiki/Oklahoma,https://cs.wikipedia.org/wiki/Oklahoma City,-7.05,-1.68,"je největší město státu Oklahoma a zároveň jeho hlavním městem. Je 31. nejlidnatějším v USA, žije zde přibližně 592 tisíc obyvatel, v roce 2005 to bylo 531 324 lidí. Nachází se zde vše, od zábavy až po průmysl."
Oregon,Salem,https://cs.wikipedia.org/wiki/Oregon,https://cs.wikipedia.org/wiki/Salem,19.73,-39.74,"je hlavní město amerického státu Oregon. Město leží na řece Willamette. V Salemu žije podle sčítání z roku 2010 více než 154 637 lidí, což z něj po Portlandu a Eugene dělá třetí nejlidnatější město státu."
Pennsylvania,Harrisburg,https://cs.wikipedia.org/wiki/Pennsylvania,https://cs.wikipedia.org/wiki/Harrisburg,6.39,32.27,"je hlavní město amerického státu Pensylvánie. Krom toho je sídelní město kraje Dauphin. Podle výsledku sčítání lidu v roce 2010 v něm žilo 48 528 obyvatel, čímž se řadí na 10. místo největších měst tohoto státu. V jeho aglomeraci však žije až k půl milionu lidí. Je pojmenováno podle prvního evropského přistěhovalce, který se na tomto místě usadil."
Rhode Island,Providence,https://cs.wikipedia.org/wiki/Rhode Island,https://cs.wikipedia.org/wiki/Providence,11.64,39.93,je hlavní a nejlidnatější město amerického státu Rhode Island a jedno z nejdříve založených měst Spojených států. Je to zároveň třetí největší město v Nové Anglii. Leží na řece Providence.
South Carolina,Columbia,https://cs.wikipedia.org/wiki/South Carolina,https://cs.wikipedia.org/wiki/Columbia,-8.08,27.65,"je hlavní město a zároveň největší město amerického státu Jižní Karolína. Columbia je sídlem Richland County, ale malá část města spadá pod Lexington County."
South Dakota,Pierre,https://cs.wikipedia.org/wiki/South Dakota,https://cs.wikipedia.org/wiki/Pierre,12.33,-5.59,"je hlavní město Jižní Dakoty, státu USA. Jeho rozloha je 33,7 km²."
Tennessee,Nashville,https://cs.wikipedia.org/wiki/Tennessee,https://cs.wikipedia.org/wiki/Nashville,-4.76,16.99,je hlavní město amerického státu Tennessee založené roku 1779.
Texas,Austin,https://cs.wikipedia.org/wiki/Texas,https://cs.wikipedia.org/wiki/Austin,-18.21,-2.35,je hlavní město státu Texas.
Utah,Salt Lake City,https://cs.wikipedia.org/wiki/Utah,https://cs.wikipedia.org/wiki/Salt Lake City,6.78,-24.76,"je hlavní a největší město amerického státu Utah. Žije v něm přibližně 178 tisíc obyvatel, jeho aglomerace ale má až 2 miliony obyvatel. Má přezdívku Křižovatka Západu. Salt Lake City bylo založeno v roce 1847. Je sídlem ústředí Církve Ježíše Krista Svatých posledních dnů. V roce 2002 se zde konaly zimní olympijské hry."
Vermont,Montpelier,https://cs.wikipedia.org/wiki/Vermont,https://cs.wikipedia.org/wiki/Montpelier,16.43,36.93,"je hlavní město amerického státu Vermont. Mimo to je též sídelní město kraji Washington County tohoto státu. Podle údajů z roku 2010 v něm žilo 7855 obyvatel, což z něj dělá nejmenší hlavní město amerického státu v USA."
Virginia,Richmond,https://cs.wikipedia.org/wiki/Virginia,https://cs.wikipedia.org/wiki/Richmond,0.54,32.53,"je hlavní město amerického státu Virginie. Richmondem prochází několik důležitých vnitrostátních silnic, díky čemu byla celková populace města a jeho okolí 1,194,008 lidí během sčítání v roce 2000."
Washington,Olympia,https://cs.wikipedia.org/wiki/Washington,https://cs.wikipedia.org/wiki/Olympia,23.90,-38.23,"je hlavní město státu Washington a okresní město Thurston County. Bylo včleněno 28. ledna 1859. Podle sčítání lidu v roce 2010 mělo 46 478 obyvatel. Rozloha města je 48 km², z toho 43,3 km² zabírá pevnina a 4,7 km² (9,77 %) voda."
West Virginia,Charleston,https://cs.wikipedia.org/wiki/West Virginia,https://cs.wikipedia.org/wiki/Charleston,0.76,25.62,je hlavním a největším městem amerického státu Západní Virginie nalézající se na soutoku řek Elk a Kanawha v okrese Kanawha. Údaje z roku 2000 uvádějí 53 421 obyvatel centrálního města.
Wisconsin,Madison,https://cs.wikipedia.org/wiki/Wisconsin,https://cs.wikipedia.org/wiki/Madison,9.70,11.53,"je hlavní město státu Wisconsin v USA. V roce 2010 činila populace 233 209 obyvatel, což Madison činí druhým největším městem ve státě Wisconsin, hned po Milwaukee, a 77. největším městem v USA. V Madisonu mimo jiné také sídlí University of Wisconsin-Madison."
Wyoming,Cheyenne,https://cs.wikipedia.org/wiki/Wyoming,https://cs.wikipedia.org/wiki/Cheyenne,6.07,-13.85,"je hlavní a největší město státu Wyoming ve Spojených státech amerických, hlavní město okresu Laramie County. Založeno bylo roku 1867. Rozkládá se na celkové ploše 57,9 km² a jeho populace je 59 456 obyvatel (2010). Hustota zalidnění je 969,6 obyv./km²."
